Dataset,Dataset Mode,Target,Split,Feature Set,Model,Max Rows,Target Clipping,Clip Low Quantile,Clip High Quantile,Clip Low Value,Clip High Value,RMSE,MAE,R2,Train Seconds,Predict Seconds
secondary_screen_ic50,secondary_screen_ic50,target_log_ic50,random,,Ridge,,quantile_0.01_0.99,0.01,0.99,-3.1951787511304666,1.173315387436691,0.4780068744457917,0.29319070330669134,0.6734485377387238,3.6866512298583984,0.3607823848724365
secondary_screen_ic50,secondary_screen_ic50,target_log_ic50,random,,Linear,,quantile_0.01_0.99,0.01,0.99,-3.1951787511304666,1.173315387436691,0.4783574705258584,0.2931190471842681,0.6729693410808857,5.372834920883179,0.35384607315063477
secondary_screen_ic50,secondary_screen_ic50,target_log_ic50,random,,Gradient Boosting,,quantile_0.01_0.99,0.01,0.99,-3.1951787511304666,1.173315387436691,0.61110365878612,0.45584608489141737,0.46628044436503246,3.4278059005737305,0.42858028411865234
secondary_screen_ic50,secondary_screen_ic50,target_log_ic50,random,,Dummy Mean,,quantile_0.01_0.99,0.01,0.99,-3.1951787511304666,1.173315387436691,0.8364916682066056,0.6316027534402054,-1.5167381919756195e-05,1.576585054397583,0.37224864959716797
