Dataset,Dataset Mode,Target,Split,Feature Set,Model,RMSE,MAE,R2,Train Seconds,Predict Seconds
gdsc,gdsc_metadata_only,LN_IC50,random,metadata_only,Ridge,1.5735704920945313,1.1842760154765481,0.6713927919976692,3.2587132453918457,0.3831899166107178
gdsc,gdsc_metadata_only,LN_IC50,random,metadata_only,Dummy Mean,2.7450374642707653,2.0849669619470426,-2.8358432735409167e-06,1.9957876205444336,0.4221770763397217
