Dataset,Dataset Mode,Target,Split,Feature Set,Model,RMSE,MAE,R2,Train Seconds,Predict Seconds
secondary_screen_ic50,secondary_screen_ic50,target_log_ic50,random,,Ridge,3.455741465709133,0.4340302545089097,0.014635847995765117,6.4207847118377686,0.5248839855194092
secondary_screen_ic50,secondary_screen_ic50,target_log_ic50,random,,Linear,3.4725058752580007,0.43558435400545137,0.005052308968239494,7.827696084976196,0.5184793472290039
secondary_screen_ic50,secondary_screen_ic50,target_log_ic50,random,,Dummy Mean,3.481323048623338,0.7336013628289632,-6.725661726436627e-06,2.1968019008636475,0.4644153118133545
