Dataset Mode,Feature,Type,Unique Values,Missing Count,Most Common Value,Most Common Count,Most Common Percent,Rarest Category Count,Top Values,Value Counts CSV
gdsc_auc_metadata_plus_expression,Growth Properties,categorical,4,0,Adherent,165260,69.79150390006377,7065,Adherent: 165260 (69.8%); Suspension: 55560 (23.5%); Unknown: 8906 (3.8%); Semi-Adherent: 7065 (3.0%),docs/dataset_profile/categorical_value_counts/gdsc_auc_metadata_plus_expression__growth_properties.csv
gdsc_auc_metadata_plus_expression,CNA,categorical,3,0,Y,226867,95.80896233387249,1018,Y: 226867 (95.8%); Unknown: 8906 (3.8%); N: 1018 (0.4%),docs/dataset_profile/categorical_value_counts/gdsc_auc_metadata_plus_expression__cna.csv
gdsc_auc_metadata_plus_expression,Gene Expression,categorical,2,0,Y,227885,96.23887732219552,8906,Y: 227885 (96.2%); Unknown: 8906 (3.8%),docs/dataset_profile/categorical_value_counts/gdsc_auc_metadata_plus_expression__gene_expression.csv
gdsc_auc_metadata_plus_expression,Methylation,categorical,3,0,Y,222269,93.86716555950184,5616,Y: 222269 (93.9%); Unknown: 8906 (3.8%); N: 5616 (2.4%),docs/dataset_profile/categorical_value_counts/gdsc_auc_metadata_plus_expression__methylation.csv
gdsc_auc_metadata_plus_expression,TARGET,categorical,186,0,Unknown,27068,11.43117770523373,199,"Unknown: 27068 (11.4%); PARP1, PARP2: 4575 (1.9%); MEK1, MEK2: 4433 (1.9%); TOP1: 4236 (1.8%); EGFR: 3725 (1.6%); TNKS1, TNKS2: 3589 (1.5%); AKT1, AKT2, AKT3: 3247 (1.4%); DOT1L: 2789 (1.2%)",docs/dataset_profile/categorical_value_counts/gdsc_auc_metadata_plus_expression__target.csv
gdsc_auc_metadata_plus_expression,TARGET_PATHWAY,categorical,24,0,Unclassified,24899,10.515180053295945,927,"Unclassified: 24899 (10.5%); PI3K/MTOR signaling: 22148 (9.4%); Other: 21033 (8.9%); DNA replication: 17323 (7.3%); Other, kinases: 16879 (7.1%); ERK MAPK signaling: 13034 (5.5%); Genome integrity: 11861 (5.0%); Cell cycle: 11335 (4.8%)",docs/dataset_profile/categorical_value_counts/gdsc_auc_metadata_plus_expression__target_pathway.csv
secondary_screen_auc,ccle_tissue,categorical,20,0,LUNG,134114,19.431404594663515,914,LUNG: 134114 (19.4%); TRACT: 75271 (10.9%); SKIN: 58583 (8.5%); SYSTEM: 49622 (7.2%); PANCREAS: 47087 (6.8%); OVARY: 42636 (6.2%); INTESTINE: 38439 (5.6%); OESOPHAGUS: 34898 (5.1%),docs/dataset_profile/categorical_value_counts/secondary_screen_auc__ccle_tissue.csv
secondary_screen_auc,screen_id,categorical,4,0,HTS002,592912,85.90537125901199,822,HTS002: 592912 (85.9%); MTS010: 63528 (9.2%); MTS006: 32930 (4.8%); MTS005: 822 (0.1%),docs/dataset_profile/categorical_value_counts/secondary_screen_auc__screen_id.csv
secondary_screen_auc,name,categorical,1448,0,talazoparib,1357,0.19661195725247468,27,talazoparib: 1357 (0.2%); selinexor: 939 (0.1%); tosedostat: 938 (0.1%); doxycycline: 936 (0.1%); oxiracetam: 932 (0.1%); P276-00: 931 (0.1%); dinaciclib: 929 (0.1%); narasin: 927 (0.1%),docs/dataset_profile/categorical_value_counts/secondary_screen_auc__name.csv
secondary_screen_auc,moa,categorical,531,0,Unknown,30084,4.35878712010571,27,Unknown: 30084 (4.4%); EGFR inhibitor: 20307 (2.9%); HDAC inhibitor: 12937 (1.9%); CDK inhibitor: 10644 (1.5%); tubulin polymerization inhibitor: 10436 (1.5%); topoisomerase inhibitor: 10271 (1.5%); MEK inhibitor: 10118 (1.5%); glucocorticoid receptor agonist: 9756 (1.4%),docs/dataset_profile/categorical_value_counts/secondary_screen_auc__moa.csv
secondary_screen_auc,target,categorical,791,0,Unknown,126092,18.269119317523238,27,Unknown: 126092 (18.3%); MTOR: 8547 (1.2%); EGFR: 7860 (1.1%); HSP90AA1: 5808 (0.8%); MET: 4857 (0.7%); TOP2A: 4251 (0.6%); NR3C1: 4123 (0.6%); BCL2: 3939 (0.6%),docs/dataset_profile/categorical_value_counts/secondary_screen_auc__target.csv
secondary_screen_auc,disease.area,categorical,100,0,Unknown,449031,65.05885318867793,89,Unknown: 449031 (65.1%); oncology: 48427 (7.0%); infectious disease: 29415 (4.3%); hematologic malignancy: 24714 (3.6%); neurology/psychiatry: 21737 (3.1%); cardiology: 14569 (2.1%); dermatology: 11772 (1.7%); endocrinology: 11579 (1.7%),docs/dataset_profile/categorical_value_counts/secondary_screen_auc__disease_area.csv
secondary_screen_auc,indication,categorical,339,0,Unknown,449031,65.05885318867793,27,Unknown: 449031 (65.1%); breast cancer: 7136 (1.0%); non-small cell lung cancer (NSCLC): 6955 (1.0%); prostate cancer: 4479 (0.6%); corticosteroid-responsive dermatoses: 3950 (0.6%); hypertension: 3736 (0.5%); multiple myeloma: 3601 (0.5%); contraceptive: 3540 (0.5%),docs/dataset_profile/categorical_value_counts/secondary_screen_auc__indication.csv
secondary_screen_auc,phase,categorical,8,0,Launched,261454,37.881343162482324,5764,Launched: 261454 (37.9%); Preclinical: 179276 (26.0%); Phase 2: 110144 (16.0%); Phase 3: 62229 (9.0%); Phase 1: 54114 (7.8%); Phase 1/Phase 2: 9829 (1.4%); Withdrawn: 7382 (1.1%); Phase 2/Phase 3: 5764 (0.8%),docs/dataset_profile/categorical_value_counts/secondary_screen_auc__phase.csv
secondary_screen_ic50,ccle_tissue,categorical,20,0,LUNG,69925,19.653778697187057,539,LUNG: 69925 (19.7%); TRACT: 41029 (11.5%); SKIN: 30814 (8.7%); SYSTEM: 24362 (6.8%); OVARY: 23650 (6.6%); PANCREAS: 22676 (6.4%); OESOPHAGUS: 18969 (5.3%); INTESTINE: 18807 (5.3%),docs/dataset_profile/categorical_value_counts/secondary_screen_ic50__ccle_tissue.csv
secondary_screen_ic50,screen_id,categorical,4,0,HTS002,317605,89.26905088480652,75,HTS002: 317605 (89.3%); MTS010: 19909 (5.6%); MTS006: 18195 (5.1%); MTS005: 75 (0.0%),docs/dataset_profile/categorical_value_counts/secondary_screen_ic50__screen_id.csv
secondary_screen_ic50,name,categorical,1415,0,selinexor,924,0.25970813752164235,1,selinexor: 924 (0.3%); carfilzomib: 919 (0.3%); dinaciclib: 902 (0.3%); napabucasin: 888 (0.2%); bortezomib: 888 (0.2%); P276-00: 876 (0.2%); talazoparib: 848 (0.2%); gambogic-acid: 848 (0.2%),docs/dataset_profile/categorical_value_counts/secondary_screen_ic50__name.csv
secondary_screen_ic50,moa,categorical,522,0,EGFR inhibitor,11059,3.108346637285544,1,EGFR inhibitor: 11059 (3.1%); Unknown: 11019 (3.1%); HDAC inhibitor: 9777 (2.7%); tubulin polymerization inhibitor: 9377 (2.6%); topoisomerase inhibitor: 8873 (2.5%); CDK inhibitor: 7378 (2.1%); mTOR inhibitor: 7083 (2.0%); HSP inhibitor: 6706 (1.9%),docs/dataset_profile/categorical_value_counts/secondary_screen_ic50__moa.csv
secondary_screen_ic50,target,categorical,777,0,Unknown,60456,16.992332426416027,1,Unknown: 60456 (17.0%); MTOR: 6501 (1.8%); HSP90AA1: 4858 (1.4%); EGFR: 4401 (1.2%); TUBB: 3455 (1.0%); TOP2A: 3333 (0.9%); TOP1: 3259 (0.9%); BCL2: 2912 (0.8%),docs/dataset_profile/categorical_value_counts/secondary_screen_ic50__target.csv
secondary_screen_ic50,disease.area,categorical,96,0,Unknown,257023,72.2413037123648,1,Unknown: 257023 (72.2%); oncology: 20644 (5.8%); hematologic malignancy: 14967 (4.2%); infectious disease: 14797 (4.2%); neurology/psychiatry: 6404 (1.8%); cardiology: 6210 (1.7%); endocrinology: 4374 (1.2%); dermatology: 3985 (1.1%),docs/dataset_profile/categorical_value_counts/secondary_screen_ic50__disease_area.csv
secondary_screen_ic50,indication,categorical,330,0,Unknown,257023,72.2413037123648,1,Unknown: 257023 (72.2%); non-small cell lung cancer (NSCLC): 3773 (1.1%); multiple myeloma: 3002 (0.8%); breast cancer: 2665 (0.7%); colorectal cancer: 2514 (0.7%); chronic myeloid leukemia (CML): 1587 (0.4%); cosmetic: 1580 (0.4%); coccidiosis: 1521 (0.4%),docs/dataset_profile/categorical_value_counts/secondary_screen_ic50__indication.csv
secondary_screen_ic50,phase,categorical,8,0,Launched,106031,29.802070919434264,2837,Launched: 106031 (29.8%); Preclinical: 102732 (28.9%); Phase 2: 64628 (18.2%); Phase 1: 36535 (10.3%); Phase 3: 33366 (9.4%); Phase 1/Phase 2: 6582 (1.8%); Withdrawn: 3073 (0.9%); Phase 2/Phase 3: 2837 (0.8%),docs/dataset_profile/categorical_value_counts/secondary_screen_ic50__phase.csv
