Dataset Mode,Feature,Value,Count,Percent
gdsc_metadata_only,TARGET,CP11A,717,0.29623814737537957
gdsc_metadata_only,TARGET,"HDAC1, HDAC2, HDAC3, HDAC8",717,0.29623814737537957
gdsc_metadata_only,TARGET,DYRK1A,717,0.29623814737537957
gdsc_metadata_only,TARGET,"JAK1, JAK2, JAK3",717,0.29623814737537957
gdsc_metadata_only,TARGET,FAK1,717,0.29623814737537957
gdsc_metadata_only,TARGET,VSP34,717,0.29623814737537957
gdsc_metadata_only,TARGET,"PAK1, PAK2",716,0.2958249839899188
gdsc_metadata_only,TARGET,IGFR1,716,0.2958249839899188
gdsc_metadata_only,TARGET,"CECR2, BRD2, BRD4, BRD9",716,0.2958249839899188
gdsc_metadata_only,TARGET,"EP300, CBP",716,0.2958249839899188
gdsc_metadata_only,TARGET,"PIM1, PIM2, PIM3",716,0.2958249839899188
gdsc_metadata_only,TARGET,TAF1,716,0.2958249839899188
gdsc_metadata_only,TARGET,KDM1,716,0.2958249839899188
gdsc_metadata_only,TARGET,ULK1,715,0.29541182060445803
gdsc_metadata_only,TARGET,IAP,714,0.29499865721899726
gdsc_metadata_only,TARGET,KSP11,713,0.29458549383353644
gdsc_metadata_only,TARGET,NAMPT,595,0.24583221434916436
gdsc_metadata_only,TARGET,"BCL2, BCL-XL, MCL1",376,0.15534943293325346
gdsc_metadata_only,TARGET,S6K1,268,0.11072778730348916
gdsc_metadata_only,TARGET,"AURKA, AURKB, AURKC, others",268,0.11072778730348916
gdsc_metadata_only,TARGET,"ROCK1, ROCK2",268,0.11072778730348916
gdsc_metadata_only,TARGET,PI3Kbeta,267,0.11031462391802838
gdsc_metadata_only,TARGET,"TGFBR1, ACVR1B, ACVR1C",265,0.10948829714710683
gdsc_metadata_only,TARGET,Retinoic acid,225,0.09296176172867561
gdsc_metadata_only,TARGET,Induces reactive oxygen species,225,0.09296176172867561
gdsc_metadata_only,TARGET,"RSK, AURKB, PIM1, PIM3",225,0.09296176172867561
gdsc_metadata_only,TARGET,EGLN1,225,0.09296176172867561
gdsc_metadata_only,TARGET,"TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC",225,0.09296176172867561
gdsc_metadata_only,TARGET,AR,225,0.09296176172867561
gdsc_metadata_only,TARGET_PATHWAY,Unclassified,24979,10.320408205424837
gdsc_metadata_only,TARGET_PATHWAY,PI3K/MTOR signaling,22724,9.388724771210775
gdsc_metadata_only,TARGET_PATHWAY,Other,21402,8.842522775631624
