Value,Count,Percent
nitric oxide synthase inhibitor,1307,0.18936759626306884
GABA benzodiazepine site receptor agonist,1303,0.18878804738391636
cannabinoid receptor agonist,1300,0.188353385724552
glutamate receptor positive allosteric modulator,1291,0.18704940074645895
inosine monophosphate dehydrogenase inhibitor,1286,0.18632496464751838
cholesteryl ester transfer protein inhibitor,1285,0.18618007742773024
calcineurin inhibitor,1285,0.18618007742773024
"EGFR inhibitor, protein tyrosine kinase inhibitor",1283,0.185890302988154
dopamine receptor agonist,1271,0.1841516563506966
angiotensin converting enzyme inhibitor,1268,0.18371699469133226
angiotensin receptor antagonist,1256,0.18197834805387486
cholinergic receptor antagonist,1225,0.17748684424044323
HIV integrase inhibitor,1194,0.17299534042701162
"estrogen receptor antagonist, selective estrogen receptor modulator (SERM)",1182,0.17125669378955422
GABA receptor antagonist,1137,0.16473676889908895
steroid,1126,0.16314300948141966
peptidase inhibitor,938,0.13590421216125367
"microtubule inhibitor, tubulin polymerization inhibitor",937,0.13575932494146556
histone lysine demethylase inhibitor,929,0.13460022718316061
microtubule stabilizing agent,928,0.1344553399633725
"NFkB pathway inhibitor, proteasome inhibitor",923,0.13373090386443193
CDC inhibitor,923,0.13373090386443193
"KIT inhibitor, VEGFR inhibitor",922,0.1335860166446438
"aldehyde dehydrogenase inhibitor, DNA methyltransferase inhibitor, TRPV agonist",922,0.1335860166446438
"FLT3 inhibitor, JAK inhibitor",917,0.1328615805457032
cannabinoid receptor antagonist,916,0.1327166933259151
DNA intercalating agent,916,0.1327166933259151
"CDK inhibitor, growth factor receptor inhibitor",915,0.132571806106127
ubiquitin C-terminal hydrolase inhibitor,914,0.13242691888633887
JNK inhibitor,914,0.13242691888633887
acetylcholine receptor allosteric modulator,912,0.13213714444676264
P glycoprotein inhibitor,911,0.13199225722697452
WEE1 kinase inhibitor,909,0.1317024827873983
"Aurora kinase inhibitor, Bcr-Abl kinase inhibitor, FLT3 inhibitor, JAK inhibitor",907,0.13141270834782207
kinesin inhibitor,906,0.13126782112803395
telomerase inhibitor,905,0.1311229339082458
interleukin synthesis inhibitor,905,0.1311229339082458
"Bcr-Abl kinase inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor",904,0.1309780466884577
"ALK tyrosine kinase receptor inhibitor, EGFR inhibitor",904,0.1309780466884577
lysophosphatidic acid receptor antagonist,903,0.1308331594686696
syk inhibitor,902,0.13068827224888147
oxidative stress inducer,902,0.13068827224888147
niacinamide phosphoribosyltransferase inhibitor,901,0.13054338502909335
cardiac glycoside,900,0.13039849780930524
"cyclooxygenase inhibitor, lipoxygenase inhibitor",898,0.130108723369729
FAAH inhibitor,896,0.12981894893015275
"JAK inhibitor, STAT inhibitor",894,0.12952917449057655
TRPV antagonist,894,0.12952917449057655
T-type calcium channel blocker,893,0.1293842872707884
vasopressin receptor antagonist,893,0.1293842872707884
"DNA alkylating agent, DNA synthesis inhibitor",892,0.1292394000510003
antimalarial agent,890,0.12894962561142406
"FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",889,0.12880473839163595
"tubulin polymerization inhibitor, VE-cadherin antagonist",888,0.12865985117184783
"AKT inhibitor, MAP kinase inhibitor",887,0.12851496395205972
"FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAF inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",886,0.1283700767322716
HSP antagonist,885,0.1282251895124835
GABA receptor modulator,885,0.1282251895124835
endothelin receptor antagonist,877,0.12706609175417855
sodium/glucose cotransporter inhibitor,875,0.12677631731460232
"FGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",872,0.12634165565523794
progestogen hormone,871,0.12619676843544986
G protein-coupled receptor agonist,869,0.1259069939958736
"FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAF inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",869,0.1259069939958736
adenosine receptor agonist,869,0.1259069939958736
"RNA synthesis inhibitor, topoisomerase inhibitor",868,0.12576210677608549
PKC activator,864,0.12518255789693303
anthelmintic agent,863,0.1250376706771449
"cyclooxygenase inhibitor, prostanoid receptor antagonist",860,0.12460300901778056
antiviral,855,0.12387857291883998
tachykinin antagonist,854,0.12373368569905185
radical formation stimulant,853,0.12358879847926374
"cell cycle inhibitor, PLK inhibitor",852,0.12344391125947561
glucocorticoid receptor antagonist,851,0.12329902403968751
toll-like receptor agonist,851,0.12329902403968751
"FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",850,0.1231541368198994
calcium channel activator,849,0.12300924960011127
mucolytic agent,846,0.12257458794074692
dopamine receptor ligand,845,0.1224297007209588
glutamate receptor modulator,843,0.12213992628138258
"DNA synthesis inhibitor, thymidylate synthase inhibitor",841,0.12185015184180634
estrogen receptor antagonist,839,0.12156037740223011
"hedgehog pathway inhibitor, smoothened receptor antagonist",837,0.12127060296265386
bacterial DNA inhibitor,835,0.12098082852307765
"EGFR inhibitor, FGFR inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",833,0.12069105408350139
androgen receptor modulator,827,0.1198217307647727
"microtubule stabilizing agent, tubulin polymerization inhibitor",826,0.11967684354498459
"EGFR inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",826,0.11967684354498459
histamine receptor agonist,823,0.11924218188562025
"angiogenesis inhibitor, tumor necrosis factor production inhibitor",822,0.11909729466583212
bacterial 30S ribosomal subunit inhibitor,821,0.11895240744604399
thyrotropin releasing hormone receptor agonist,821,0.11895240744604399
HSP inducer,820,0.11880752022625587
nedd activating enzyme inhibitor,819,0.11866263300646777
"Bcr-Abl kinase inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor",819,0.11866263300646777
"interferon inducer, toll-like receptor agonist",819,0.11866263300646777
dipeptidyl peptidase inhibitor,818,0.11851774578667965
"Bcr-Abl kinase inhibitor, ephrin inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, src inhibitor, tyrosine kinase inhibitor",818,0.11851774578667965
ion channel antagonist,813,0.11779330968773906
"estrogen receptor agonist, estrogenic hormone",804,0.116489324709646
androgen biosynthesis inhibitor,799,0.11576488861070543
phosphofructokinase inhibitor,794,0.11504045251176484
adenylyl cyclase activator,786,0.11388135475345991
FGFR inhibitor,784,0.11359158031388368
smoothened receptor antagonist,778,0.11272225699515497
glutamate receptor agonist,765,0.11083872313790945
"adenosine deaminase inhibitor, ribonucleotide reductase inhibitor",754,0.10924496372024016
anti-inflammatory agent,751,0.10881030206087582
"kinesin inhibitor, kinesin-like spindle protein inhibitor",743,0.10765120430257089
progesterone receptor antagonist,734,0.10634721932447783
cathepsin inhibitor,708,0.10258015160998679
TRPV agonist,703,0.1018557155110462
platelet aggregation inhibitor,693,0.10040684331316502
"dehydrogenase inhibitor, inositol monophosphatase inhibitor",688,0.09968240721422446
maternal embryonic leucine zipper kinase inhibitor,476,0.06896631661914365
"IKK inhibitor, NFkB pathway inhibitor",475,0.06882142939935554
MAP kinase phosphatase inhibitor,474,0.06867654217956742
"CDK inhibitor, FLT3 inhibitor, JAK inhibitor",473,0.06853165495977931
eukaryotic translation elongation factor 2 inhibitor,473,0.06853165495977931
antitumor agent,472,0.0683867677399912
"FAAH inhibitor, FAAH reuptake inhibitor",472,0.0683867677399912
"MAP kinase inhibitor, MEK inhibitor",471,0.06824188052020308
angiogenesis inhibitor,470,0.06809699330041495
P selectin inhibitor,470,0.06809699330041495
dopamine uptake inhibitor,470,0.06809699330041495
survivin inhibitor,470,0.06809699330041495
"FLT3 inhibitor, KIT inhibitor, PKC inhibitor",469,0.06795210608062684
"mediator release inhibitor, SYK inhibitor",469,0.06795210608062684
"PI3K inhibitor, mTOR inhibitor",469,0.06795210608062684
"Aurora kinase inhibitor, growth factor receptor inhibitor",469,0.06795210608062684
"L-type calcium channel blocker, T-type calcium channel blocker",469,0.06795210608062684
thymidine phosphorylase inhibitor,468,0.06780721886083872
deubiquitinase inhibitor,468,0.06780721886083872
bone morphogenic protein inhibitor,468,0.06780721886083872
immunosuppressant,467,0.06766233164105061
LDL receptor activator,467,0.06766233164105061
"ATPase inhibitor, TRPV agonist",467,0.06766233164105061
ATP synthase inhibitor,467,0.06766233164105061
choleretic agent,467,0.06766233164105061
serum/glucocorticoid regulated kinase inhibitor,466,0.06751744442126249
ubiquitin-conjugating enzyme inhibitor,466,0.06751744442126249
"antioxidant, capillary stabilizing agent, nitric oxide scavenger",466,0.06751744442126249
"protein tyrosine kinase inhibitor, tyrosine kinase inhibitor",465,0.06737255720147438
"CDK inhibitor, tyrosine kinase inhibitor",465,0.06737255720147438
tumor necrosis factor release inhibitor,465,0.06737255720147438
SYK inhibitor,465,0.06737255720147438
"DNA protein kinase inhibitor, PI3K inhibitor",465,0.06737255720147438
"Abl kinase inhibitor, Aurora kinase inhibitor, FLT3 inhibitor",465,0.06737255720147438
"DNA directed DNA polymerase inhibitor, thymidylate synthase inhibitor",465,0.06737255720147438
breast cancer resistance protein inhibitor,464,0.06722766998168625
"DNA replication inhibitor, STAT inhibitor",464,0.06722766998168625
adenosine kinase inhibitor,463,0.06708278276189814
"antitumor agent, ribonucleotide reductase inhibitor",463,0.06708278276189814
"serotonin receptor agonist, dopamine receptor agonist",463,0.06708278276189814
other antifungal,463,0.06708278276189814
phosphatidylglycerophosphatase inhibitor,463,0.06708278276189814
SIRT inhibitor,462,0.06693789554211002
"src inhibitor, VEGFR inhibitor",462,0.06693789554211002
"DNA inhibitor, topoisomerase inhibitor",462,0.06693789554211002
"glucocorticoid receptor antagonist, progesterone receptor antagonist",462,0.06693789554211002
"BCL inhibitor, MCL1 inhibitor",462,0.06693789554211002
beta-catenin inhibitor,462,0.06693789554211002
RSV fusion inhibitor,462,0.06693789554211002
"ALK tyrosine kinase receptor inhibitor, insulin growth factor receptor inhibitor",462,0.06693789554211002
psychoactive drug,462,0.06693789554211002
phospholipase inhibitor,461,0.0667930083223219
hedgehog pathway inhibitor,461,0.0667930083223219
fungal lanosterol demethylase inhibitor,461,0.0667930083223219
"CDK inhibitor, cell cycle inhibitor, MCL1 inhibitor",461,0.0667930083223219
neurotrophic agent,461,0.0667930083223219
PAR agonist,461,0.0667930083223219
